index,PPT,Condition,Correct,RT
1,1,2,1,0.557789085
3,1,2,0,0.375600551
4,1,2,1,0.492189852
5,1,2,1,0.576897816
7,1,1,1,0.368834646
10,1,2,1,0.457233134
11,1,1,1,0.366708951
12,1,1,1,0.42713749
13,1,2,0,0.368841815
14,1,1,1,0.427870747
15,1,2,1,0.703996458
16,1,1,1,0.372181414
17,1,2,1,0.485926099
19,1,1,1,0.293997666
22,1,2,1,0.573005202
24,1,2,1,0.449802246
26,1,1,1,0.338556712
27,1,2,1,0.380754518
29,1,1,1,0.38118703
30,1,2,1,0.553014719
33,1,1,1,0.468370591
34,1,1,1,0.344164356
35,1,2,0,0.441416552
37,1,1,1,0.468119003
38,1,2,1,0.616835769
39,1,2,0,0.353646522
40,1,1,1,0.460565223
41,1,1,1,0.450269578
44,1,2,1,0.52075105
46,1,2,1,0.471998304
47,1,1,0,0.30759058
48,1,2,1,0.379639611
49,1,1,1,0.639370122
51,1,2,1,0.317549978
52,1,1,1,0.345136571
53,1,2,1,0.46801591
54,1,2,1,0.391543097
55,1,2,1,0.356518789
56,1,1,1,0.29551368
58,1,1,1,0.65089469
60,1,2,1,0.656786694
61,1,1,1,0.297965723
62,1,2,1,0.580174261
63,1,1,1,0.501338843
66,1,2,0,0.296379388
67,1,2,1,0.865056049
71,1,2,1,0.283160954
72,1,1,1,0.47882702
75,1,2,1,0.584983788
77,1,2,1,0.517475628
78,1,1,1,0.341632775
79,1,1,1,0.446725159
81,1,1,1,0.337976046
82,1,2,1,0.315379563
84,1,2,1,0.624501859
85,1,2,1,0.531599368
87,1,1,1,0.605807208
88,1,2,0,0.284017787
92,1,1,1,0.432161396
96,1,2,1,0.621743268
97,1,1,1,0.438421735
98,1,1,1,0.379179107
100,1,2,1,0.724391803
101,1,2,1,0.408321994
102,1,1,1,0.316015531
103,1,2,1,0.516967673
104,1,1,1,0.342074504
105,1,1,1,0.383132825
107,1,1,0,0.28153741
108,1,2,0,0.394652614
109,1,2,1,0.589236887
111,1,1,1,0.555598871
112,1,1,1,0.501522499
113,1,1,1,0.769922038
114,1,1,1,0.407557672
115,1,2,1,1.195849722
116,1,1,1,0.410372589
118,1,1,1,0.405074224
121,1,1,0,0.295750589
122,1,1,1,0.465548506
123,1,2,1,0.471534727
124,1,1,1,0.527394062
125,1,1,1,0.418941255
126,1,1,1,0.471372919
130,1,1,1,0.447671771
131,1,2,1,0.588475637
132,1,2,1,0.605297205
133,1,1,1,0.468772722
135,1,2,0,0.354074597
137,1,2,1,0.578802647
138,1,2,1,0.513393214
139,1,1,1,0.400559979
140,1,2,0,0.38948192
141,1,1,1,0.395568503
142,1,1,1,0.389094809
143,1,2,1,0.463474357
144,1,1,1,0.406932628
145,1,2,1,0.458237096
147,1,1,1,0.379612985
148,1,1,1,0.358656773
150,1,2,0,0.321480825
152,1,2,1,0.504455188
153,1,2,1,0.649144499
155,1,2,1,0.50966787
156,1,1,1,0.430184878
159,1,2,0,0.38538551
160,1,1,1,0.37789932
161,1,1,1,0.388965431
162,1,2,1,0.554154545
164,1,1,1,0.495165212
165,1,1,1,0.339456557
166,1,2,1,0.574150831
167,1,2,1,0.719192434
168,1,1,1,0.330359795
169,1,2,1,0.404718519
170,1,2,1,0.529059935
171,1,1,1,0.368062814
172,1,1,1,0.483491125
173,1,2,1,0.51416368
175,1,1,1,0.355088459
176,1,1,1,0.348851332
177,1,2,1,0.45638825
178,1,2,1,0.374314619
180,1,2,1,0.491960112
181,1,2,1,0.475673808
182,1,1,1,0.408150628
184,1,2,1,0.345686514
186,1,1,1,0.311203955
187,1,2,1,0.574403785
190,1,2,1,0.48688978
191,1,1,0,0.31653953
192,1,2,1,0.454999566
193,1,1,1,0.47577895
195,1,1,1,0.623001549
198,1,1,1,0.313498287
199,1,1,1,0.417907595
200,1,2,0,0.446934417
204,1,1,1,0.385318943
205,1,1,1,0.3161176
206,1,2,1,0.630359385
207,1,1,1,0.407284237
208,1,1,1,0.532336381
211,1,1,1,0.33156687
212,1,1,1,0.390699237
213,1,1,1,0.34624465
214,1,2,1,0.451203901
215,1,2,1,0.432612001
217,1,1,1,0.361444722
219,1,2,1,0.330994055
220,1,1,1,0.365502558
221,1,1,1,0.45659307
222,1,1,1,0.286276274
223,1,1,0,0.269710391
224,1,2,0,0.295182553
225,1,2,1,0.657022579
226,1,2,1,0.491531013
227,1,2,1,0.505261839
228,1,1,1,0.302831575
231,1,2,1,0.422004688
233,1,2,1,0.481570591
234,1,1,1,0.335137575
235,1,1,1,0.435578826
237,1,2,0,0.38468673
238,1,1,1,0.436974337
239,1,1,1,0.51966277
240,1,1,1,0.657015751
246,1,2,0,0.410617691
251,1,2,0,0.355628843
252,1,2,1,0.477896452
254,1,2,1,0.43009544
256,1,2,1,0.302582377
258,1,1,1,0.923346945
259,1,1,1,0.491040809
261,1,2,0,0.437181547
264,1,1,1,0.349974773
265,1,1,1,0.433105277
266,1,2,0,0.373754777
268,1,1,1,0.431928925
269,1,2,1,0.361284962
272,1,2,1,0.534928385
273,1,2,0,0.373115054
274,1,1,1,0.487248899
275,1,2,1,0.566328736
276,1,1,1,0.41571738
277,1,2,1,0.515041678
