index,PPT,Condition,Correct,RT
0,1,2,1,0.50576663
1,1,1,1,2.622814417
2,1,2,1,0.564563096
3,1,2,1,0.400056422
4,1,1,1,0.4118101
5,1,1,1,0.505886495
8,1,1,1,0.435333014
10,1,2,1,0.517689526
11,1,2,1,0.458885491
12,1,2,1,0.411679745
14,1,2,1,0.411668926
15,1,2,1,0.294072002
16,1,2,1,0.364751488
17,1,2,1,0.376408935
18,1,1,1,0.600014925
20,1,2,1,0.399928451
21,1,2,0,0.282311976
22,1,1,1,0.423597485
23,1,1,1,0.317737132
25,1,2,1,0.435352534
27,1,1,1,0.505882025
28,1,1,1,0.541197002
29,1,1,1,0.329471976
31,1,1,1,0.741149545
32,1,1,1,0.999907613
33,1,1,1,0.341236353
35,1,2,1,0.541201711
36,1,1,1,0.388312519
37,1,1,1,0.329493344
40,1,2,1,0.553014636
42,1,2,1,0.564580917
43,1,1,1,0.541071475
45,1,1,1,0.494173408
46,1,2,1,0.470640123
47,1,2,1,0.305970281
48,1,2,1,0.329491138
49,1,2,1,0.282400042
53,1,2,1,1.011641145
54,1,1,1,0.599843502
55,1,1,1,0.529449046
56,1,1,1,0.49400267
57,1,1,1,0.435345203
61,1,1,1,0.470617712
63,1,2,1,0.5764606
64,1,2,1,0.388312578
65,1,2,1,0.38814202
68,1,2,0,0.400063246
70,1,2,1,0.635285378
71,1,1,1,0.446977586
72,1,2,1,0.905819833
74,1,2,1,0.353018939
76,1,1,1,0.29404062
78,1,2,1,0.423589647
80,1,1,1,0.329573333
81,1,1,1,0.294061035
82,1,1,1,0.258755416
84,1,2,1,0.494162291
86,1,2,1,0.388294935
87,1,2,0,0.282440692
88,1,1,1,0.588102162
89,1,1,1,0.341255277
90,1,2,1,0.37652427
93,1,2,1,0.399922252
95,1,1,0,0.552835882
96,1,2,1,0.399902821
97,1,2,1,0.470626175
98,1,2,1,0.63516438
99,1,2,1,0.635307431
100,1,1,0,0.282455504
101,1,2,1,0.576356411
103,1,1,1,0.388159662
105,1,1,1,0.341110438
107,1,2,1,0.447116375
109,1,1,1,0.835237324
111,1,2,1,0.364657938
112,1,1,1,0.329510897
113,1,1,1,0.305971056
114,1,2,1,0.505777895
115,1,1,0,0.364787489
116,1,1,1,0.388323694
120,1,1,1,0.576491892
121,1,2,1,0.576368868
122,1,2,1,0.517674744
125,1,2,1,0.47049287
126,1,2,1,0.717480659
128,1,1,1,0.788034022
131,1,1,1,0.32949701
133,1,2,1,0.399924338
134,1,2,1,0.400069535
135,1,1,1,0.37639758
136,1,1,1,0.447093785
137,1,1,1,0.352874756
138,1,1,1,0.517708898
139,1,1,1,0.353020102
140,1,1,1,0.30596596
142,1,1,1,0.329515219
144,1,1,1,0.611639798
145,1,2,0,0.329337597
146,1,1,1,0.611637712
147,1,2,1,0.658671498
151,1,2,1,0.423598766
152,1,1,1,0.505777955
154,1,1,1,0.329496562
155,1,1,1,0.494163156
157,1,1,1,0.317731112
158,1,1,1,0.305974066
159,1,2,0,0.294217855
160,1,1,1,0.329486936
162,1,1,1,0.329442829
163,1,1,1,0.400057107
164,1,2,1,0.49411723
166,1,2,1,0.435332924
167,1,1,1,0.294071168
169,1,2,1,0.482243925
172,1,2,1,0.447104305
173,1,1,1,0.282311589
176,1,1,1,0.435357869
177,1,2,1,0.552962363
178,1,2,1,0.317597479
179,1,1,1,0.305992484
182,1,2,0,0.38817966
185,1,2,1,0.411844999
186,1,2,1,0.38829571
187,1,2,1,0.458745867
189,1,1,1,0.564714491
190,1,2,1,0.564692855
191,1,2,1,0.294177204
193,1,1,1,0.482397228
194,1,1,1,0.36479792
195,1,2,1,0.494139403
197,1,1,1,0.42356813
198,1,2,1,0.505908728
200,1,2,1,0.341256052
201,1,2,1,0.423594773
202,1,1,1,0.411685824
203,1,1,1,0.35303995
204,1,1,1,0.30582723
206,1,1,1,0.341255665
207,1,2,1,0.294219643
208,1,1,1,0.411792696
211,1,2,1,0.564728975
212,1,2,1,0.341113538
214,1,1,1,0.364753842
215,1,2,1,0.505928099
216,1,1,1,0.38830632
217,1,2,1,0.576489091
218,1,1,1,0.447084516
223,1,2,1,0.529432952
224,1,1,1,0.399940342
225,1,2,1,0.458731264
227,1,1,1,0.341252178
228,1,2,1,0.364628345
229,1,1,1,0.305963427
230,1,1,1,0.34122178
231,1,1,1,0.59995681
232,1,1,1,0.882292569
236,1,1,0,0.353065997
238,1,2,1,0.635266364
239,1,1,1,0.30583936
240,1,1,1,0.458880097
241,1,2,0,0.376536936
242,1,2,1,0.482397646
243,1,2,1,0.317591369
244,1,2,1,0.529451609
247,1,2,1,0.400077641
248,1,2,1,0.341272384
249,1,1,1,0.447081864
254,1,2,0,0.353028685
255,1,1,1,0.36462602
256,1,2,0,0.329515278
257,1,2,1,0.505915165
261,1,2,1,0.447128564
264,1,2,1,0.423448175
265,1,1,1,0.282304406
267,1,1,1,0.353032082
269,1,2,1,0.329492331
270,1,1,1,0.552955806
271,1,2,1,0.494129181
272,1,1,1,0.494010478
273,1,2,1,0.482366979
274,1,2,1,0.400069505
275,1,1,1,0.447077394
276,1,1,1,0.353001922
278,1,2,1,0.458881348
279,1,1,1,0.552967787
280,1,2,1,0.423583806
281,1,1,1,0.411818147
282,1,1,1,0.329517096
283,1,1,1,0.364734262
284,1,2,1,0.447112054
285,1,2,1,0.399917305
286,1,1,1,0.423600584
289,1,1,1,0.341248244
290,1,2,0,0.30594933
291,1,2,1,0.482191741
292,1,1,1,0.505920231
294,1,2,1,0.376508266
296,1,2,1,0.341247827
299,1,1,1,0.376397431
300,1,1,1,0.61163187
301,1,1,1,0.329493225
303,1,1,1,0.341107666
304,1,1,1,0.38828823
305,1,2,1,0.505943835
307,1,2,0,0.353018105
308,1,2,1,0.564712703
310,1,1,1,0.740992784
311,1,2,1,0.529430509
312,1,1,1,0.294202864
314,1,1,1,0.329337835
315,1,2,1,0.388150543
316,1,2,1,0.400072008
319,1,2,1,0.3765378
321,1,2,1,0.317719281
322,1,1,0,0.388305992
325,1,2,1,0.576469064
327,1,1,1,0.388301164
328,1,1,1,0.376548797
329,1,1,1,0.388281733
330,1,2,1,0.482377797
331,1,2,1,0.317596644
333,1,2,1,0.388307661
334,1,2,1,0.611769021
335,1,2,1,0.364640713
336,1,2,1,0.482385814
337,1,2,1,0.353011519
338,1,1,1,0.611614347
339,1,2,1,0.32949543
340,1,2,1,0.447079867
341,1,1,1,0.341226101
342,1,2,1,0.376400083
344,1,2,0,0.317721963
347,1,2,1,0.482403159
351,1,1,1,0.435385406
353,1,2,1,0.423559278
354,1,2,1,0.364726186
356,1,1,1,0.294208854
359,1,1,1,0.37640205
360,1,1,1,0.552946866
361,1,2,1,0.564570546
362,1,1,1,0.270636737
363,1,2,1,0.494158447
364,1,2,1,0.329490662
367,1,2,1,0.517651498
371,1,1,1,0.423588842
372,1,1,1,0.400066078
373,1,2,1,0.411671758
374,1,1,1,0.423379004
375,1,2,1,0.494159907
377,1,1,1,0.435349554
379,1,1,1,0.376530856
382,1,1,1,0.435327411
383,1,1,1,0.388297051
386,1,2,0,0.329345733
387,1,1,1,0.388158619
388,1,1,1,0.31758523
390,1,1,1,0.435298622
392,1,2,1,0.376511306
393,1,2,1,0.541193843
395,1,1,1,0.282443017
396,1,1,1,0.635175467
397,1,1,1,0.517684639
398,1,2,1,0.435358942
399,1,1,1,0.376382202
400,1,1,1,0.411769331
401,1,2,1,0.611632228
402,1,1,1,0.541067898
403,1,2,1,0.458861798
404,1,1,1,0.376403809
405,1,1,1,0.36457926
407,1,2,1,0.388308734
409,1,2,1,0.423578531
410,1,1,1,0.482396066
411,1,2,1,0.329501271
412,1,2,1,0.470644712
413,1,2,1,0.388331324
414,1,2,1,0.341075301
417,1,2,1,0.494140685
419,1,1,1,0.341259152
420,1,1,1,0.505760372
421,1,1,1,0.599953175
423,1,1,1,0.329348415
425,1,2,1,0.412132323
426,1,1,1,0.588097572
427,1,1,1,0.400046378
428,1,1,1,0.388151199
430,1,1,1,0.305976003
431,1,2,1,0.599999189
434,1,2,1,0.423580736
435,1,1,1,0.31771946
437,1,1,1,0.329489887
438,1,1,1,0.341218084
442,1,2,1,0.329333127
443,1,1,1,0.282445133
444,1,2,1,0.353024185
445,1,2,1,0.28241688
448,1,1,1,0.329342693
449,1,1,1,0.352966905
450,1,1,1,0.258911282
451,1,2,1,0.294068813
454,1,1,1,0.341111451
455,1,2,1,0.40003249
457,1,1,1,0.235405177
458,1,2,1,0.400064856
459,1,1,1,0.470492184
460,1,1,1,0.482394487
463,1,2,1,0.305977613
464,1,1,1,0.282324791
468,1,2,1,0.3647874
469,1,1,1,0.270696223
470,1,2,1,0.376550913
472,1,2,1,0.305982083
473,1,2,0,0.258782297
474,1,2,1,0.576558292
475,1,2,1,0.400060624
476,1,2,1,0.353019208
480,1,1,1,0.588091612
481,1,1,1,0.353614688
482,1,2,1,0.352877051
483,1,2,1,0.341254085
484,1,1,0,0.341257572
485,1,2,0,0.317713082
486,1,2,1,0.400064409
487,1,2,1,0.352965593
488,1,1,1,0.376549959
489,1,1,1,0.364791334
490,1,2,1,0.423565924
491,1,1,1,0.329509974
493,1,1,1,0.364793241
