index,PPT,Condition,Correct,RT
1,1,2,1,0.458860299
2,1,2,1,0.482395418
3,1,1,1,0.423569558
4,1,2,1,0.47062754
5,1,2,1,0.458841343
6,1,2,1,0.400059876
7,1,1,1,0.353009814
8,1,1,1,0.353003094
9,1,1,1,0.505904987
10,1,1,1,0.447112637
11,1,1,1,0.400027176
12,1,1,1,0.458858308
13,1,2,1,0.458846184
14,1,2,1,0.388302115
15,1,2,1,0.470615345
17,1,2,1,0.435272277
18,1,2,1,0.623515997
19,1,2,1,0.529438891
26,1,1,1,0.846996603
27,1,2,1,0.623506709
28,1,1,1,0.752913245
29,1,1,1,0.458837725
32,1,2,1,0.529433247
33,1,1,1,0.41182247
34,1,1,1,0.470614002
37,1,2,1,0.494147774
39,1,2,1,0.423590696
42,1,2,1,0.600005647
46,1,1,1,0.599996561
48,1,1,1,0.352988953
49,1,2,1,0.44709307
50,1,1,1,0.423570938
51,1,1,1,0.411673638
52,1,2,1,0.517680976
53,1,2,1,0.623520358
54,1,1,1,0.411804234
55,1,2,1,0.505915892
56,1,2,1,0.458846001
58,1,2,1,0.670568407
59,1,1,1,0.529423306
61,1,1,1,0.623499921
62,1,1,1,0.423589493
63,1,1,1,0.529440889
65,1,1,1,0.552959414
66,1,2,1,0.647051153
67,1,2,1,0.541193535
68,1,1,1,0.411804586
69,1,1,1,0.470636626
72,1,1,1,0.458838973
75,1,2,1,0.458854971
77,1,1,1,0.470601151
79,1,2,1,0.482382735
81,1,1,1,0.400063835
82,1,1,1,0.423555049
84,1,1,1,0.423570597
85,1,1,1,0.423572325
86,1,2,1,0.341241748
87,1,2,1,0.788183496
89,1,1,1,0.447105539
92,1,1,1,0.435295331
93,1,1,1,0.400051603
95,1,1,1,0.41180831
96,1,2,0,0.41182394
98,1,2,1,0.564703952
99,1,2,1,0.5646889
100,1,2,1,0.552927378
103,1,1,1,0.458876338
104,1,2,1,0.411809577
106,1,1,1,0.329499539
107,1,1,1,0.341252451
108,1,1,1,0.411810294
109,1,1,1,0.364767252
110,1,2,1,0.458848022
113,1,2,0,0.435352184
114,1,2,1,0.576484269
115,1,1,1,0.482402239
116,1,1,1,0.458874459
117,1,1,1,0.435305497
119,1,2,1,0.447120085
120,1,2,1,0.682335257
121,1,2,1,0.435334856
123,1,2,1,0.694070548
125,1,1,1,0.364783826
126,1,1,1,0.305970852
127,1,2,1,0.494122548
128,1,1,1,0.329480343
130,1,1,1,0.341228038
131,1,2,1,0.529420891
133,1,2,1,0.435332302
134,1,2,1,0.435304672
135,1,2,1,0.400051202
136,1,2,1,0.494162215
137,1,1,1,0.458848858
138,1,2,1,0.505899771
141,1,2,1,0.43533693
142,1,1,1,0.388301215
144,1,1,1,1.176305752
145,1,2,0,0.447088041
146,1,1,1,0.458711887
147,1,2,1,0.470615356
148,1,1,1,0.564707432
149,1,1,1,0.388280575
150,1,1,1,0.447088053
151,1,2,1,0.458854918
152,1,1,1,0.494159208
154,1,2,1,0.447095001
155,1,2,1,0.541193546
157,1,1,1,0.294133255
158,1,2,1,0.458806199
159,1,2,1,0.400064792
162,1,1,1,0.411800495
163,1,1,1,0.353000259
167,1,1,1,0.435300904
168,1,1,1,0.423554007
172,1,2,1,0.400039633
174,1,1,1,0.388278532
175,1,2,0,0.400044913
180,1,1,1,0.376540762
